filename,productLevel,apername,bkgdtarg,category,duration,pps_aper,targ_ra,targ_dec,obslabel,targname,targprop,publicReleaseDate_mjd,publicReleaseDate,NeII,NeIII,ArII,ArIII,SIII,SIV,bkg
jw02219-o005_t006_miri_ch3-short_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-Background-short,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,1,0,0,0,0,0,True
jw02219-o005_t006_miri_ch1-short_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-Background-short,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,0,0,0,True
jw02219-o005_t006_miri_ch2-short_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-Background-short,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,0,0,0,True
jw02219-o005_t006_miri_ch4-short_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-Background-short,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,0,1,0,True
jw02219-o010_t006_miri_ch1-medium_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-F1-F2-Background,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,0,0,0,True
jw02219-o010_t006_miri_ch2-medium_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-F1-F2-Background,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,1,0,0,True
jw02219-o010_t006_miri_ch3-medium_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-F1-F2-Background,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,1,0,0,0,0,True
jw02219-o010_t006_miri_ch4-medium_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-F1-F2-Background,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,0,0,0,True
jw02219-o015_t006_miri_ch1-long_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-F1-F2-Background,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,1,0,0,0,True
jw02219-o015_t006_miri_ch2-long_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-F1-F2-Background,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,0,0,1,True
jw02219-o015_t006_miri_ch3-long_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-F1-F2-Background,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,0,0,0,True
jw02219-o015_t006_miri_ch4-long_s3d.fits,3,MIRIFU_CHANNEL1A,t,GO,2264.432,MIRIFU_CHANNEL1A,204.375857916667,-29.9337111111111,M-83-F1-F2-Background,M-83-Background,M-83-BACKGROUND,60139.5416666667,07/14/2023,0,0,0,0,0,0,True
jw02219-o001_t002_miri_ch3-short_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,1,0,0,0,0,0,False
jw02219-c1003_t002_miri_ch3-short_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,1,0,0,0,0,0,False
jw02219-o001_t002_miri_ch1-short_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-o001_t002_miri_ch2-short_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-o001_t002_miri_ch4-short_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,1,0,False
jw02219-c1003_t002_miri_ch1-short_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-c1003_t002_miri_ch2-short_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-c1003_t002_miri_ch4-short_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,1,0,False
jw02219-o011_t002_miri_ch2-long_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,1,False
jw02219-o011_t002_miri_ch3-long_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-o011_t002_miri_ch4-long_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-o006_t002_miri_ch1-medium_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-o006_t002_miri_ch2-medium_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,1,0,0,False
jw02219-o006_t002_miri_ch3-medium_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,1,0,0,0,0,False
jw02219-o006_t002_miri_ch4-medium_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-c1005_t002_miri_ch2-long_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,1,False
jw02219-c1005_t002_miri_ch3-long_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-c1005_t002_miri_ch4-long_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-c1004_t002_miri_ch1-medium_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
jw02219-c1004_t002_miri_ch2-medium_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,1,0,0,False
jw02219-c1004_t002_miri_ch3-medium_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,1,0,0,0,0,False
jw02219-c1004_t002_miri_ch4-medium_s3d.fits,3,MIRIFU_CHANNEL1A,f,GO,9057.728,MIRIFU_CHANNEL1A,204.252958333333,-29.8662777777778,M-83-F1,M-83-F1,M-83-F1,60139.5416666667,07/14/2023,0,0,0,0,0,0,False
